course_code,course_title
INFT 346,Software Development Life Cycle
COSC 352,Computer Security
COSC 331,Computer Graphics I
COSC 361,Data Structures & Algorithm I
INFT 361,Design and Theories of Algorithms
BSAD 330,Quantitative Methods for Business Decision
MATH 311,Probability and Statistics
RELT 385,Introduction to Biblical Foundation of Ethics
INFT 331,Multimedia Application Systems Development I
