
2026-02-22T13:41:35.352143,FREN 121,French for General Communication I [Sec B],J. Elorm Doufodji,American High,Wednesday,7:00am - 9:30am,1,1,30,2,computer,0,100.0,0
2026-02-22T13:41:35.352143,FREN 122,French for General Communication II [Sec B],J. Rhule,Baobab RM1,Thursday,2:00pm - 4:30pm,2,1,30,2,computer,0,100.0,0
2026-02-22T13:41:35.352143,FREN 122,French for General Communication II [Sec B],J. Rhule,American High,Friday,10:00am - 12:30pm,2,1,30,2,computer,0,100.0,0
2026-02-22T13:41:35.352143,HLTH 200,Health Principles [Sec B],K. Oheneba Nti,American High,Monday,2:00pm - 4:30pm,1,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,RELB 250,Principles of Christian Faith [Sec B],Ps. E. Osei,American High,Tuesday,2:00pm - 4:30pm,2,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,RELT 385,Introduction to Biblical Foundation of Ethics [Sec A],Ps. E. Takyi,Baobab RM1,Wednesday,7:00am - 9:30am,3,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,RELB 250,Principles of Christian Faith [Sec B],Ps. P. Obeng Manu,Baobab RM1,Thursday,10:00am - 12:30pm,2,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,COSC 370,Operations Research [Sec A] / Management Science [Sec A],Dr. A. Adu-Sackey,Baobab RM3,Friday,7:00am - 9:30am,3,1,30,3.0,computer,0,100.0,0
2026-02-22T13:41:35.352143,INFT 370,Operations Research [Sec A] / Management Science [Sec A],Dr. A. Adu-Sackey,Baobab RM1,Monday,10:00am - 12:30pm,3,1,30,3.0,computer,0,100.0,0
2026-02-22T13:41:35.352143,COSC 130,Digital Electronics [Sec A],E. Okoe,Baobab RM1,Tuesday,2:00pm - 4:30pm,1,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,COSC 117,Fundamentals of Computing Skills [Sec B],G. Preprah Tanoah,Baobab RM1,Wednesday,10:00am - 12:30pm,1,1,30,3.0,computer,0,100.0,0
2026-02-22T13:41:35.352143,BBIS 213,IT for Business (MOS) [Sec A],G. Preprah Tanoah,Baobab RM1,Thursday,7:00am - 9:30am,2,1,30,3.0,computer,0,100.0,0
2026-02-22T13:41:35.352143,PHYS 103,Physics [Sec A],J. Okyere Asirifi,Baobab RM1,Friday,10:00am - 12:30pm,1,1,30,3.0,computer,0,100.0,0
2026-02-22T13:41:35.352143,COSC 470,/ INFT 470 Computer & Cyber Forensics,M. Asare,Baobab RM3,Monday,7:00am - 9:30am,4,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,INFT 459,Enterprise Information Security [Sec A] / Computer Security [Sec A],M. Doe,Baobab RM1,Tuesday,10:00am - 12:30pm,4,1,30,3.0,computer,0,100.0,0
2026-02-22T13:41:35.352143,COSC 352,Enterprise Information Security [Sec A] / Computer Security [Sec A],M. Doe,Baobab RM3,Wednesday,10:00am - 12:30pm,3,1,30,3.0,computer,0,100.0,0
2026-02-22T13:41:35.352143,STAT 202,Statistical Methods for Health Sciences [Sec A],O. Osei-Tutu,Baobab RM3,Monday,10:00am - 12:30pm,2,1,30,3.0,computer,0,100.0,0
2026-02-22T13:41:35.352143,CSCD 119,Introduction to Computer Science [Sec A],Prof. P. Yaw Owusu Amoako,Baobab RM3,Thursday,10:00am - 12:30pm,1,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,COSC 224,Object-Oriented Programming [Sec A],Prof. P. Yaw Owusu Amoako,Baobab RM3,Tuesday,10:00am - 12:30pm,2,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,COCS 364,Research Methods [Sec A],Prof. P. Yaw Owusu Amoako,Baobab RM3,Friday,10:00am - 12:30pm,3,1,30,3,computer,0,100.0,0
