Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time
ENGL 112,Language and Writing Skills II [Sec B],NC,C. Pokuaa,Baobab RM1,Thu,2:00 PM - 4:30 PM
SOCI 115,Principles of Sociology [Sec A],NC,Dr. D. Dovie,Baobab RM3,Fri,7:00 AM - 9:30 AM
RELB 163,Life and Teachings of Jesus [Sec A],NC,Dr. F. Tenortey,Baobab RM5,Wed,10:00 AM - 12:30 PM
RELB 163,Life and Teachings of Jesus [Sec A],NC,Dr. F. Tenortey,Bulley Room 2,Mon,7:00 AM - 9:30 AM
RELT 385,Introduction to Biblical Foundation of Ethics [Sec A],NC,Dr. J. Andor,Baobab RM5,Mon,10:00 AM - 12:30 PM
ENGL 111,Language and Writing Skills I [Sec A],NC,Dr. S. Adjei-Mensah,Bulley Room 1,Wed,10:00 AM - 12:30 PM
ENGL 111,Language and Writing Skills I [Sec A],NC,Dr. S. Adjei-Mensah,Bulley Room 2,Tue,2:00 PM - 4:30 PM
ENGL 111,Language and Writing Skills I [Sec A],NC,Dr. S. Adjei-Mensah,Boabab RM5,Wed,2:00 PM - 4:30 PM
RELG 451,Bible and Family Dynamics [Sec A],NC,Dr. S. Amoh,Bulley Room 1,Thu,7:00 AM - 9:30 AM
RELG 451,Bible and Family Dynamics [Sec A],NC,Dr. S. Amoh,Bulley Room 2,Tue,7:00 AM - 9:30 AM
AFST 205,Introduction to African Music [Sec A],NC,E. Boahen,Baobab RM1,Wed,7:00 AM - 9:30 AM
AFST 205,Introduction to African Music [Sec A],NC,E. Boahen,Boabab RM5,Wed,10:00 AM - 12:30 PM
AFST 243,Chieftaincy and Development [Sec B],NC,F. Opoku,American High,Mon,7:00 AM - 9:30 AM
AFST 243,Chieftaincy and Development [Sec B],NC,F. Opoku,American High,Wed,7:00 AM - 9:30 AM
FREN 121,French for General Communication I [Sec A],NC,J. Elorm Doufodji,Bulley Room 4,Thu,10:00 AM - 12:30 PM
FREN 121,French for General Communication I [Sec A],NC,J. Elorm Doufodji,Bulley Room 5,Thu,7:00 AM - 9:30 AM
FREN 122,French for General Communication II [Sec A],NC,J. Rhule,Bulley Room 5,Mon,2:00 PM - 4:30 PM
FREN 122,French for General Communication II [Sec A],NC,J. Rhule,Boabab RM5,Wed,7:00 AM - 9:30 AM
PEAC 100,Physical Activity [Sec A],NC,K. Oheneba Nti,Bulley Room 1,Tue,2:00 PM - 4:30 PM
HLTH 200,Health Principles [Sec A],NC,K. Oheneba Nti,Baobab RM3,Wed,10:00 AM - 12:30 PM
HLTH 200,Health Principles [Sec A],NC,K. Oheneba Nti,Bulley Room 4,Tue,10:00 AM - 12:30 PM
MATH 121,College Algebra [Sec A],NC,O. Osei-Tutu,Baobab RM1,Thu,7:00 AM - 9:30 AM
RELB 250,Principles of Christian Faith [Sec B],NC,Ps. E. H. Takyi,Bulley Room 2,Wed,2:00 PM - 4:30 PM
RELB 250,Principles of Christian Faith [Sec B],NC,Ps. E. Osei,Bulley Room 1,Tue,10:00 AM - 12:30 PM
RELT 385,Introduction to Biblical Foundation of Ethics [Sec A],NC,Ps. S. Appiah,American High,Tue,7:00 AM - 9:30 AM
INFT 420,Human Computer Interaction,NC,D. Martin,CS Lab,Wed,2:00 PM - 4:30 PM
COSC 211 / INFT 211,Computer Organization / Computer Organization and Architecture,NC,D. Martin,CS2,Wed,10:00 AM - 12:30 PM
INFT 142,Critical Thinking and Practical Reasoning,NC,D. Martin,CS1,Mon,10:00 AM - 12:30 PM
COSC 331,Computer Graphics I,NC,Dr. P. Y. O. Amoako,CS Lab,Wed,7:00 AM - 9:30 AM
INFT 425,Mobile Application Development,NC,Dr. P. Y. O. Amoako,CS1,Fri,10:00 AM - 12:30 PM
COSC 455,"Artificial Intelligence and Machine Learning [CS] / Artificial Intelligence and Machine Learning [IT, BEIT]",NC,Dr. P. Y. O. Amoako,CS1,Wed,2:00 PM - 4:30 PM
COSC 255,Operating Systems,NC,Dr. P. Y. O. Amoako,CS3,Wed,10:00 AM - 12:30 PM
INFT 346 / COSC 447,Software Development Life Cycle / Software Engineering,NC,J. Abandoh-Sam,CS1,Tue,7:00 AM - 9:30 AM
INFT 439 / COSC 429,Cloud Computing Systems,NC,J. Abandoh-Sam,CS1,Thu,10:00 AM - 12:30 PM
MATH 171,Introductory Mathematics for Computer Science,NC,Prof. W. Oblitey,CS1,Tue,2:00 PM - 4:30 PM
COSC 260,Structured Systems Analysis and Design,NC,J. Abandoh-Sam,CS2,Thu,7:00 AM - 9:30 AM
COSC 352 / INFT 452,Computer Security / Enterprise Information Security,NC,J. Abandoh-Sam,Business Lab,Thu,2:00 PM - 4:30 PM
MATH 141,Algebra,NC,Prof. W. Oblitey,CS2,Tue,10:00 AM - 12:30 PM
COSC 271,Data Communication & Computer Network I,NC,E. Okoe,CS2,Tue,7:00 AM - 9:30 AM
COSC 466,Systems and Network Administration,NC,M. Asare Tetteh,CS2,Mon,7:00 AM - 9:30 AM
