course_code,course_title
COSC 447,Software Engineering
INFT 439,Cloud Computing Systems
COSC 429,Cloud Computing Systems
COSC 466,Systems and Network Administration
COSC 470,Computer and Cyber Forensics
INFT 470,Computer and Cyber Forensics
COSC 455,Artificial Intelligence and Machine Learning
GNED 468,Job Search Strategies and Techniques
RELG 451,Bible and Family Dynamics
INFT 452,Enterprise Information Security
INFT 425,Mobile Application Development
