Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time,course_level,Semester,start_time
COSC 117,Fundamentals of Computing Skills [Sec B],3.0,G. Preprah Tanoah,CS3,Wednesday,7:00 AM - 9:30 AM,100,1,7:00 AM
BBIS 213,IT for Business (MOS) [Sec A],3.0,G. Preprah Tanoah,CS LAB,Wednesday,2:00 PM - 4:30 PM,200,1,2:00 PM
COSC 117,Fundamentals of Computing Skills [Sec A],3.0,G. Preprah Tanoah,CS LAB,Thursday,10:00 AM - 12:30 PM,100,2,10:00 AM
BBIS 260,Web and Social Management Tools [Sec A],3.0,G. Preprah Tanoah,American High,Tuesday,7:00 AM - 9:30 AM,200,2,7:00 AM
CSCD 119,Introduction to Computer Science [Sec A],3.0,Prof. P. Yaw Owusu Amoako,CS LAB,Monday,10:00 AM - 12:30 PM,100,1,10:00 AM
COSC 224,Object-Oriented Programming [Sec A],3.0,Prof. P. Yaw Owusu Amoako,CS2,Monday,7:00 AM - 9:30 AM,200,1,7:00 AM
COCS 364 / INFT 364,Research Methods [Sec A],3.0,Prof. P. Yaw Owusu Amoako,CS2,Monday,2:00 PM - 4:30 PM,300,1,2:00 PM
COSC 480,Compiler Design [Sec A],3.0,Prof. P. Yaw Owusu Amoako,CS1,Tuesday,2:00 PM - 4:30 PM,400,1,2:00 PM
COSC 272 / INFT 372,Data Communication & Computer Network II [Sec A] / Network Project Management,3.0,E. Okoe,CS3,Monday,7:00 AM - 9:30 AM,200,2,7:00 AM
COSC 130,Digital Electronics [Sec A],3.0,E. Okoe,GEN. LAB,Friday,10:00 AM - 12:30 PM,100,1,10:00 AM
COSC 124,Procedural Programming [Sec A],3.0,E. Okoe,CS3,Monday,10:00 AM - 12:30 PM,100,2,10:00 AM
INFT 281 / COSC 280 / BBIS 110,Management Information Systems [Sec A] / Information Systems [Sec A] / Introduction to Business Information Systems [Sec A],3.0,R. W. Ambeh-Doh,CS LAB,Tuesday,7:00 AM - 9:30 AM,200,1,7:00 AM
BBIS 338,Enterprise Systems [Sec A],3.0,R. W. Ambeh-Doh,CS2,Wednesday,7:00 AM - 9:30 AM,300,1,7:00 AM
INFT 115,Information Technology Foundation [Sec A],3.0,R. W. Ambeh-Doh,GEN. LAB,Monday,10:00 AM - 12:30 PM,100,1,10:00 AM
INFT 480 / BBIS 304,Data Warehousing [Sec A] / Business Intelligence and Dataware Housing [Sec A],3.0,S. Ganu,CS3,Thursday,7:00 AM - 9:30 AM,400,2,7:00 AM
BBIS 488,Decision Support Systems [Sec A],3.0,S. Ganu,CS2,Thursday,2:00 PM - 4:30 PM,400,2,2:00 PM
COSC 240 / INFT 346,Systems Programming {Sec A] / DotNet Programming [Sec A],3.0,S. Ganu,CS1,Friday,7:00 AM - 9:30 AM,200,1,7:00 AM
INFT 410,Internet-Enabled Applications Systems Development,3.0,S. Sebuabe,American High,Monday,10:00 AM - 12:30 PM,400,1,10:00 AM
INFT 340,Computer Vision: Concepts and Application [Sec A],3.0,S. Sebuabe,CS3,Wednesday,10:00 AM - 12:30 PM,300,2,10:00 AM
COSC 250 / BBIS 203,Computer Ethics [Sec A] / IT Professional Ethics and Practice [Sec A],3.0,S. Sebuabe,American High,Monday,2:00 PM - 4:30 PM,200,1,2:00 PM
COSC 470,/ INFT 470 Computer & Cyber Forensics,3.0,M. Asare,American High,Tuesday,2:00 PM - 4:30 PM,400,1,2:00 PM
INFT 446,Systems and Network Administration [Sec A],3.0,M. Asare,GEN. LAB,Thursday,7:00 AM - 9:30 AM,400,2,7:00 AM
INFT 459 / COSC 352,Enterprise Information Security [Sec A] / Computer Security [Sec A],3.0,M. Doe,CS3,Thursday,2:00 PM - 4:30 PM,400,1,2:00 PM
INFT 420,Computer-Human Interaction [Sec A],3.0,M. Doe,CS LAB,Monday,2:00 PM - 4:30 PM,400,2,2:00 PM
BBIS 226,Business Process Modeling and Workflow [Sec A],3.0,Prof. W. Ofoe Larkotey,CS1,Friday,10:00 AM - 12:30 PM,200,1,10:00 AM
BBIS 432,IS Consultancy Practices Solution Develop [Sec A],3.0,Prof. W. Ofoe Larkotey,CS2,Thursday,7:00 AM - 9:30 AM,400,2,7:00 AM
COSC 346 / INFT 346,Software Engineering [Sec A] / Software Development Life Cycle [Sec A],3.0,R. Amponsah,CS LAB,Tuesday,10:00 AM - 12:30 PM,300,1,10:00 AM
COSC 113,Elements of Programming [Sec A],3.0,R. Amponsah,GEN. LAB,Monday,7:00 AM - 9:30 AM,100,1,7:00 AM
COSC 370 / INFT 370,Operations Research [Sec A] / Management Science [Sec A],3.0,Dr. A. Adu-Sackey,CS LAB,Monday,7:00 AM - 9:30 AM,300,1,7:00 AM
